Likert Scale,Count Negative,Numerical Responses - Text,Quota Carrying Role - Yes/No Question View Filter Only,Quota Carrying Role,WFH Prior to Current Situation,Number of Records,WFH Prior to Current Situation - Question View Filter Only,Response (group),Emp Hash,Other,Question,Question Text,Question Type,Region,Numeric Response Value,Numeric Responses Text,Response
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,05a1511ba78a8c2d75cdde9848440405,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,Yes,1 day a week,1,1 day a week,1 day a week,05f48d013fc34c6380c497bdc501df47,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,ys a week,,No or don't know,3 days a week,1,3 days a week,3 days a week,06255444aeed8f0961ace75261477ad1,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,3 days a week,3 days a week,3 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,0664389bbad1ef45d0e89ba54f99f67d,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,"ys, I am Ohana@Home",,No or don't know,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",07787917c3179b61d292030c229ffaac,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,07c583e0da3c3bf8676870efc0710047,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,07e293b33a70abb8fab212ae2bd68301,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,ys a week,,No or don't know,3 days a week,1,3 days a week,3 days a week,07f3a1890cdeee7bdfd231fa8dbadf34,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,EMEA,3 days a week,3 days a week,3 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,091173df841d3638087e21d1234b136a,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,y a week,,Yes,1 day a week,1,1 day a week,1 day a week,0a487cc980468dffaa0175b3d5dba201,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,EMEA,1 day a week,1 day a week,1 day a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,0a5c83a8c9a9cf6ac790b05eb054d8d1,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,0ac879444040697669b2cd33b050cfd5,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,"ys, I am Ohana@Home",,Yes,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",0b0fd4b0aba1888cff35a9cd2d1f6372,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,APAC,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,0b7cbcb17e082d359f2cf62ed629d4ef,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,0b80ca51f9c911e4a20871971ce38c19,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,0b87d231b8d3eb28526c35aacd7fc143,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,0c569b94fbfa09c870694d27bee7c12a,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,"ys, I am Ohana@Home",,No or don't know,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",0deb040956bf3e7994da689c952ac858,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,0e3b4ba83c49672faf8b83d0ab677736,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,0e5e30844b396cda746246049449ad96,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,ys a week,,No or don't know,2 days a week,1,2 days a week,2 days a week,0e6457d4245c625ca663ae92227ce909,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,2 days a week,2 days a week,2 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,0f02a2d7d548948d07fe8c2d59c86ecc,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,1061c4ba2787e1adb03be31182f679e1,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,10fdc0950730a5a22d67d7f826702488,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,Yes,1 day a week,1,1 day a week,1 day a week,117c9d6b1ca6a7efe5728fa417658d14,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,11ebe25457ba94c5fb4b0e7fec5ecbdc,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,12f4e1a29da9c5a732bd76c6b6cf57fc,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,ys a week,,No or don't know,2 days a week,1,2 days a week,2 days a week,130f756441e40cdf8f87f1b24f9ecb4c,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,2 days a week,2 days a week,2 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,13218afa281af3572cd08c064d232ae3,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,13257454ab5849dd3f628c2d3059f3d0,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,13846264e4002e30fe6ebd359ccff6ab,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,APAC,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,157a356069382a6e7e4255d69eae3ee5,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,160ecc174b1b663d1483c4d802c71dcd,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,EMEA,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,16a0f495ba1085d14cc1f7dfd7f3fb59,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,16baba58f91b93add3e50143c3113eb4,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,17f60f5ed764a7e1ddc724c6ce7231dc,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,182082b281577267cd10884be577576f,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,19bcf18a7f19ecf92d5102420cf4331b,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,1a44f770af855838e5a21ad357ee491d,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,APAC,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,1a530c1784d931494cc96f5aa8e7013a,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,ys a week,,No or don't know,3 days a week,1,3 days a week,3 days a week,1a903e11f35489c13e710ccbe29edbfd,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,3 days a week,3 days a week,3 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,1aa8523e82ee764f7227b123caa5667d,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,"ys, I am Ohana@Home",,No or don't know,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",1b6fecb457fb55e6b3e10e7cba5c6803,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,1bfb08c721a7bc2e0415a3f4dfbe11e0,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,1c1f6d08c09ad2c7b2f385eb7afc3ac8,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,1c9ff85ec8e2e90812fb2741b455b285,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,"ys, I am Ohana@Home",,Yes,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",1d60580deb77e70502e7ab2656bdd664,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,Japan,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,"ys, I am Ohana@Home",,No or don't know,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",1dec40ef5f192f616746a052d24c2858,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,ys a week,,No or don't know,5 days a week,1,5 days a week,5 days a week,1fc8566f97a9456efe9d3264949a1cd6,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,5 days a week,5 days a week,5 days a week
,0,"ys, I am Ohana@Home",,Yes,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",2037e39c3b2a8ed17811769f306db511,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,EMEA,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,20730e58707d682a5fd5c924b70e8aac,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,Japan,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,207f6b95882195aed0c0c8b7b96be7bf,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,Japan,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,20eff5d9d89fbb2a4be430a087ca4658,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,21db665c1b5ece1f361ea2701c52d292,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,22023d96821820adff7581bd3198bceb,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,EMEA,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2222aca68ca664c725d6829dfd0be92a,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2238c637a933005b6a2154868e560f5e,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,22567468cd8a81311748e1dc92660515,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2301f66e4a2ecbb984f7998e1ddbedaa,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2357666cada70289b402dc979943da68,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,EMEA,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,23a9d3c98ed00a88429d2e3c00a88be6,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,23b2c05d4c73dd28d3e8f8770faf9482,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,Yes,1 day a week,1,1 day a week,1 day a week,2490d535d82c14c01066ed751f335b69,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,EMEA,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,25ce261872cd7cebcbc97dd6942fb6eb,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,25db98a606670e9688507e23e87f04eb,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2727da901862a819dd19bd8e4de028ea,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,287bc0273e9e0610273abca33adbe535,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,28e3bed162f123fc16f3084bbe61d98c,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,28f9625d938deaf4e134d7aaa34ad52e,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,y a week,,Yes,1 day a week,1,1 day a week,1 day a week,292e1efb869265bdfdfde155a756e3b5,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,29ed19e2a47a27192a241e8aa66fc230,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2a2d9214dbfb76e783ad7a5e0dc4cd0a,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2a97182ad08a9733cc826c116288d674,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2aa175a21d1d31e93301e5ad4e9ba372,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,2ab14cc3169aa1cd397602f1f65a012b,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2ad3f54d68eab8f8d73dbbf1e7ba8bee,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,Yes,1 day a week,1,1 day a week,1 day a week,2b00f455709b75f0db19e0100ce38671,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,APAC,1 day a week,1 day a week,1 day a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,2b984fa0c59ad91f5c902a60f7520eca,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,y a week,,Yes,1 day a week,1,1 day a week,1 day a week,2ca6c46e38aa96477e5ba3351b4c9254,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,Japan,1 day a week,1 day a week,1 day a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,2cae564197b310e85a6d549e2d5e9dd7,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
,0,ys a week,,No or don't know,3 days a week,1,3 days a week,3 days a week,2d20d915431c3df2a871f59ae454b926,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,3 days a week,3 days a week,3 days a week
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,2d9fd0beed0e2dcf25ce0568c114703e,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,"ys, I am Ohana@Home",,Yes,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",2fd5d7af1bcef4659fa41538feab9bbe,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,300d8630e46812e8b35976a6560baa92,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,3079ad36d5a9e79074d9b2def6fa15fc,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,Japan,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,"ys, I am Ohana@Home",,Yes,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",30abe20ae8c203a498283ec0ca1b2c14,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,ys a week,,No or don't know,2 days a week,1,2 days a week,2 days a week,32a4877e7f40f8764a7b052861fb22cf,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,2 days a week,2 days a week,2 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,32d6da27cf6c36858ee69be44ddada47,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,APAC,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,3388dd2dddd8b1b0bc54aa096c33e656,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,338f49a697f327e0e7321d0a1c6e7526,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,"ys, I am Ohana@Home",,No or don't know,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",33a503a27d04f77a1dcf2b704b7488a2,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,"ys, I am Ohana@Home",,Yes,"Always, I am Ohana@Home",1,"WAlways, I am Ohana@Home","Always, I am Ohana@Home",341ec9b77095d526df69cf1d2509c8bc,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,"Always, I am Ohana@Home","always, i am ohana@home","Always, I am Ohana@Home"
,0,r/0 days a week,,Yes,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,3454bad230c417e90119ff28f6c83add,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,Japan,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,r/0 days a week,,No or don't know,Never/0 days a week,1,Never/0 days a week,Never/0 days a week,35c4b6cf9566ae5dbf29b5bd2b263ba7,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,Never/0 days a week,never/0 days a week,Never/0 days a week
,0,y a week,,No or don't know,1 day a week,1,1 day a week,1 day a week,368f9cf4b55b6a921c06070e52fe9923,,1,"Before the current enforced WFH period, in a typical week I usually worked from home",single_choice,AMER,1 day a week,1 day a week,1 day a week
