Airline,Dest Latitude,Dest Longitude,Destination airport,Origin Latitude,Origin Longitude,Origin airport
AA,35.125,-80.5635,ALB,42.4453,-73.481,CLT
US,35.125,-80.5635,ALB,42.4453,-73.481,CLT
AA,38.517,-77.215,ALB,42.4453,-73.481,DCA
US,38.517,-77.215,ALB,42.4453,-73.481,DCA
DL,42.1244,-83.2112,ALB,42.4453,-73.481,DTW
UA,40.4132,-74.107,ALB,42.4453,-73.481,EWR
WN,26.421,-80.99,ALB,42.4453,-73.481,FLL
UA,38.564,-77.272,ALB,42.4453,-73.481,IAD
WN,36.449,-115.98,ALB,42.4453,-73.481,LAS
FL,28.2544,-81.1857,ALB,42.4453,-73.481,MCO
WN,28.2544,-81.1857,ALB,42.4453,-73.481,MCO
FL,41.479,-87.458,ALB,42.4453,-73.481,MDW
WN,41.479,-87.458,ALB,42.4453,-73.481,MDW
DL,44.5249,-93.13,ALB,42.4453,-73.481,MSP
9K,44.569,-74.5043,ALB,42.4453,-73.481,MSS
9K,44.4055,-75.2756,ALB,42.4453,-73.481,OGS
UA,41.5846,-87.5416,ALB,42.4453,-73.481,ORD
AA,39.5219,-75.1428,ALB,42.4453,-73.481,PHL
US,39.5219,-75.1428,ALB,42.4453,-73.481,PHL
FL,27.5831,-82.3159,ALB,42.4453,-73.481,TPA
WN,27.5831,-82.3159,ALB,42.4453,-73.481,TPA
FL,32.5049,-96.516,AMA,35.139,-101.4221,DAL
WN,32.5049,-96.516,AMA,35.139,-101.4221,DAL
FL,39.513,-104.401,AMA,35.139,-101.4221,DEN
UA,39.513,-104.401,AMA,35.139,-101.4221,DEN
WN,39.513,-104.401,AMA,35.139,-101.4221,DEN
AA,32.5347,-97.215,AMA,35.139,-101.4221,DFW
US,32.5347,-97.215,AMA,35.139,-101.4221,DFW
UA,29.5849,-95.2023,AMA,35.139,-101.4221,IAH
WN,36.449,-115.98,AMA,35.139,-101.4221,LAS
UA,38.564,-77.272,AOO,40.1747,-78.1912,IAD
AA,41.5846,-87.5416,ART,43.593,-76.118,ORD
US,41.5846,-87.5416,ART,43.593,-76.118,ORD
AA,39.5219,-75.1428,ART,43.593,-76.118,PHL
US,39.5219,-75.1428,ART,43.593,-76.118,PHL
AF,31.1938,-92.3254,ATL,33.3825,-84.2537,AEX
DL,31.1938,-92.3254,ATL,33.3825,-84.2537,AEX
KL,31.1938,-92.3254,ATL,33.3825,-84.2537,AEX
AF,33.2211,-81.5752,ATL,33.3825,-84.2537,AGS
DL,33.2211,-81.5752,ATL,33.3825,-84.2537,AGS
KL,33.2211,-81.5752,ATL,33.3825,-84.2537,AGS
AF,42.4453,-73.481,ATL,33.3825,-84.2537,ALB
AM,42.4453,-73.481,ATL,33.3825,-84.2537,ALB
AZ,42.4453,-73.481,ATL,33.3825,-84.2537,ALB
DL,42.4453,-73.481,ATL,33.3825,-84.2537,ALB
KL,42.4453,-73.481,ATL,33.3825,-84.2537,ALB
AF,30.114,-97.4011,ATL,33.3825,-84.2537,AUS
AZ,30.114,-97.4011,ATL,33.3825,-84.2537,AUS
DL,30.114,-97.4011,ATL,33.3825,-84.2537,AUS
FL,30.114,-97.4011,ATL,33.3825,-84.2537,AUS
KL,30.114,-97.4011,ATL,33.3825,-84.2537,AUS
VS,30.114,-97.4011,ATL,33.3825,-84.2537,AUS
WN,30.114,-97.4011,ATL,33.3825,-84.2537,AUS
AF,41.562,-72.4059,ATL,33.3825,-84.2537,BDL
AM,41.562,-72.4059,ATL,33.3825,-84.2537,BDL
AZ,41.562,-72.4059,ATL,33.3825,-84.2537,BDL
DL,41.562,-72.4059,ATL,33.3825,-84.2537,BDL
FL,41.562,-72.4059,ATL,33.3825,-84.2537,BDL
KL,41.562,-72.4059,ATL,33.3825,-84.2537,BDL
WN,41.562,-72.4059,ATL,33.3825,-84.2537,BDL
AF,33.3346,-86.4512,ATL,33.3825,-84.2537,BHM
AS,33.3346,-86.4512,ATL,33.3825,-84.2537,BHM
AZ,33.3346,-86.4512,ATL,33.3825,-84.2537,BHM
DL,33.3346,-86.4512,ATL,33.3825,-84.2537,BHM
KL,33.3346,-86.4512,ATL,33.3825,-84.2537,BHM
VS,33.3346,-86.4512,ATL,33.3825,-84.2537,BHM
AF,36.728,-86.4041,ATL,33.3825,-84.2537,BNA
AS,36.728,-86.4041,ATL,33.3825,-84.2537,BNA
AZ,36.728,-86.4041,ATL,33.3825,-84.2537,BNA
DL,36.728,-86.4041,ATL,33.3825,-84.2537,BNA
KL,36.728,-86.4041,ATL,33.3825,-84.2537,BNA
VS,36.728,-86.4041,ATL,33.3825,-84.2537,BNA
AF,42.2151,-71.018,ATL,33.3825,-84.2537,BOS
AM,42.2151,-71.018,ATL,33.3825,-84.2537,BOS
DL,42.2151,-71.018,ATL,33.3825,-84.2537,BOS
FL,42.2151,-71.018,ATL,33.3825,-84.2537,BOS
KL,42.2151,-71.018,ATL,33.3825,-84.2537,BOS
VS,42.2151,-71.018,ATL,33.3825,-84.2537,BOS
WN,42.2151,-71.018,ATL,33.3825,-84.2537,BOS
AF,30.3159,-91.858,ATL,33.3825,-84.2537,BTR
DL,30.3159,-91.858,ATL,33.3825,-84.2537,BTR
KL,30.3159,-91.858,ATL,33.3825,-84.2537,BTR
DL,44.2818,-73.911,ATL,33.3825,-84.2537,BTV
KL,44.2818,-73.911,ATL,33.3825,-84.2537,BTV
AF,42.5625,-78.4355,ATL,33.3825,-84.2537,BUF
AZ,42.5625,-78.4355,ATL,33.3825,-84.2537,BUF
DL,42.5625,-78.4355,ATL,33.3825,-84.2537,BUF
KL,42.5625,-78.4355,ATL,33.3825,-84.2537,BUF
AF,39.1031,-76.406,ATL,33.3825,-84.2537,BWI
AM,39.1031,-76.406,ATL,33.3825,-84.2537,BWI
AZ,39.1031,-76.406,ATL,33.3825,-84.2537,BWI
DL,39.1031,-76.406,ATL,33.3825,-84.2537,BWI
FL,39.1031,-76.406,ATL,33.3825,-84.2537,BWI
KL,39.1031,-76.406,ATL,33.3825,-84.2537,BWI
WN,39.1031,-76.406,ATL,33.3825,-84.2537,BWI
AF,33.5619,-81.71,ATL,33.3825,-84.2537,CAE
AZ,33.5619,-81.71,ATL,33.3825,-84.2537,CAE
DL,33.5619,-81.71,ATL,33.3825,-84.2537,CAE
KL,33.5619,-81.71,ATL,33.3825,-84.2537,CAE
9E,35.27,-85.1213,ATL,33.3825,-84.2537,CHA
AF,35.27,-85.1213,ATL,33.3825,-84.2537,CHA
AZ,35.27,-85.1213,ATL,33.3825,-84.2537,CHA
DL,35.27,-85.1213,ATL,33.3825,-84.2537,CHA
KL,35.27,-85.1213,ATL,33.3825,-84.2537,CHA
AF,32.5355,-80.225,ATL,33.3825,-84.2537,CHS
AS,32.5355,-80.225,ATL,33.3825,-84.2537,CHS
AZ,32.5355,-80.225,ATL,33.3825,-84.2537,CHS
DL,32.5355,-80.225,ATL,33.3825,-84.2537,CHS
KL,32.5355,-80.225,ATL,33.3825,-84.2537,CHS
VS,32.5355,-80.225,ATL,33.3825,-84.2537,CHS
AF,41.2442,-81.5059,ATL,33.3825,-84.2537,CLE
AM,41.2442,-81.5059,ATL,33.3825,-84.2537,CLE
AZ,41.2442,-81.5059,ATL,33.3825,-84.2537,CLE
DL,41.2442,-81.5059,ATL,33.3825,-84.2537,CLE
KL,41.2442,-81.5059,ATL,33.3825,-84.2537,CLE
UA,41.2442,-81.5059,ATL,33.3825,-84.2537,CLE
AA,35.125,-80.5635,ATL,33.3825,-84.2537,CLT
AF,35.125,-80.5635,ATL,33.3825,-84.2537,CLT
AS,35.125,-80.5635,ATL,33.3825,-84.2537,CLT
AZ,35.125,-80.5635,ATL,33.3825,-84.2537,CLT
DL,35.125,-80.5635,ATL,33.3825,-84.2537,CLT
KL,35.125,-80.5635,ATL,33.3825,-84.2537,CLT
US,35.125,-80.5635,ATL,33.3825,-84.2537,CLT
VS,35.125,-80.5635,ATL,33.3825,-84.2537,CLT
AF,39.5952,-82.533,ATL,33.3825,-84.2537,CMH
AM,39.5952,-82.533,ATL,33.3825,-84.2537,CMH
AZ,39.5952,-82.533,ATL,33.3825,-84.2537,CMH
DL,39.5952,-82.533,ATL,33.3825,-84.2537,CMH
FL,39.5952,-82.533,ATL,33.3825,-84.2537,CMH
KL,39.5952,-82.533,ATL,33.3825,-84.2537,CMH
VA,39.5952,-82.533,ATL,33.3825,-84.2537,CMH
WN,39.5952,-82.533,ATL,33.3825,-84.2537,CMH
DL,38.482,-104.42,ATL,33.3825,-84.2537,COS
KL,38.482,-104.42,ATL,33.3825,-84.2537,COS
9E,39.246,-84.3943,ATL,33.3825,-84.2537,CVG
AF,39.246,-84.3943,ATL,33.3825,-84.2537,CVG
AM,39.246,-84.3943,ATL,33.3825,-84.2537,CVG
AZ,39.246,-84.3943,ATL,33.3825,-84.2537,CVG
DL,39.246,-84.3943,ATL,33.3825,-84.2537,CVG
KL,39.246,-84.3943,ATL,33.3825,-84.2537,CVG
VS,39.246,-84.3943,ATL,33.3825,-84.2537,CVG
AF,32.5049,-96.516,ATL,33.3825,-84.2537,DAL
DL,32.5049,-96.516,ATL,33.3825,-84.2537,DAL
KL,32.5049,-96.516,ATL,33.3825,-84.2537,DAL
VS,32.5049,-96.516,ATL,33.3825,-84.2537,DAL
AF,39.548,-84.139,ATL,33.3825,-84.2537,DAY
AZ,39.548,-84.139,ATL,33.3825,-84.2537,DAY
DL,39.548,-84.139,ATL,33.3825,-84.2537,DAY
FL,39.548,-84.139,ATL,33.3825,-84.2537,DAY
KL,39.548,-84.139,ATL,33.3825,-84.2537,DAY
WN,39.548,-84.139,ATL,33.3825,-84.2537,DAY
AF,38.517,-77.215,ATL,33.3825,-84.2537,DCA
AM,38.517,-77.215,ATL,33.3825,-84.2537,DCA
AZ,38.517,-77.215,ATL,33.3825,-84.2537,DCA
DL,38.517,-77.215,ATL,33.3825,-84.2537,DCA
FL,38.517,-77.215,ATL,33.3825,-84.2537,DCA
KL,38.517,-77.215,ATL,33.3825,-84.2537,DCA
WN,38.517,-77.215,ATL,33.3825,-84.2537,DCA
AC,39.513,-104.401,ATL,33.3825,-84.2537,DEN
AF,39.513,-104.401,ATL,33.3825,-84.2537,DEN
AM,39.513,-104.401,ATL,33.3825,-84.2537,DEN
AZ,39.513,-104.401,ATL,33.3825,-84.2537,DEN
DL,39.513,-104.401,ATL,33.3825,-84.2537,DEN
F9,39.513,-104.401,ATL,33.3825,-84.2537,DEN
FL,39.513,-104.401,ATL,33.3825,-84.2537,DEN
KL,39.513,-104.401,ATL,33.3825,-84.2537,DEN
UA,39.513,-104.401,ATL,33.3825,-84.2537,DEN
VS,39.513,-104.401,ATL,33.3825,-84.2537,DEN
WN,39.513,-104.401,ATL,33.3825,-84.2537,DEN
AA,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
AF,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
AZ,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
BA,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
DL,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
KL,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
NK,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
QF,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
US,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
VS,32.5347,-97.215,ATL,33.3825,-84.2537,DFW
AF,31.1916,-85.2658,ATL,33.3825,-84.2537,DHN
DL,31.1916,-85.2658,ATL,33.3825,-84.2537,DHN
KL,31.1916,-85.2658,ATL,33.3825,-84.2537,DHN
AF,41.322,-93.3945,ATL,33.3825,-84.2537,DSM
DL,41.322,-93.3945,ATL,33.3825,-84.2537,DSM
KL,41.322,-93.3945,ATL,33.3825,-84.2537,DSM
AF,42.1244,-83.2112,ATL,33.3825,-84.2537,DTW
AM,42.1244,-83.2112,ATL,33.3825,-84.2537,DTW
AZ,42.1244,-83.2112,ATL,33.3825,-84.2537,DTW
DL,42.1244,-83.2112,ATL,33.3825,-84.2537,DTW
FL,42.1244,-83.2112,ATL,33.3825,-84.2537,DTW
KL,42.1244,-83.2112,ATL,33.3825,-84.2537,DTW
VS,42.1244,-83.2112,ATL,33.3825,-84.2537,DTW
WN,42.1244,-83.2112,ATL,33.3825,-84.2537,DTW
AF,31.4824,-106.224,ATL,33.3825,-84.2537,ELP
DL,31.4824,-106.224,ATL,33.3825,-84.2537,ELP
KL,31.4824,-106.224,ATL,33.3825,-84.2537,ELP
AF,35.422,-77.234,ATL,33.3825,-84.2537,EWN
DL,35.422,-77.234,ATL,33.3825,-84.2537,EWN
KL,35.422,-77.234,ATL,33.3825,-84.2537,EWN
AF,40.4132,-74.107,ATL,33.3825,-84.2537,EWR
AM,40.4132,-74.107,ATL,33.3825,-84.2537,EWR
AZ,40.4132,-74.107,ATL,33.3825,-84.2537,EWR
DL,40.4132,-74.107,ATL,33.3825,-84.2537,EWR
KL,40.4132,-74.107,ATL,33.3825,-84.2537,EWR
UA,40.4132,-74.107,ATL,33.3825,-84.2537,EWR
VS,40.4132,-74.107,ATL,33.3825,-84.2537,EWR
AF,24.3322,-81.4534,ATL,33.3825,-84.2537,EYW
DL,24.3322,-81.4534,ATL,33.3825,-84.2537,EYW
KL,24.3322,-81.4534,ATL,33.3825,-84.2537,EYW
AF,26.421,-80.99,ATL,33.3825,-84.2537,FLL
AZ,26.421,-80.99,ATL,33.3825,-84.2537,FLL
DL,26.421,-80.99,ATL,33.3825,-84.2537,FLL
FL,26.421,-80.99,ATL,33.3825,-84.2537,FLL
KL,26.421,-80.99,ATL,33.3825,-84.2537,FLL
NK,26.421,-80.99,ATL,33.3825,-84.2537,FLL
VS,26.421,-80.99,ATL,33.3825,-84.2537,FLL
WN,26.421,-80.99,ATL,33.3825,-84.2537,FLL
AF,35.2011,-94.222,ATL,33.3825,-84.2537,FSM
DL,35.2011,-94.222,ATL,33.3825,-84.2537,FSM
KL,35.2011,-94.222,ATL,33.3825,-84.2537,FSM
AF,29.4124,-82.1618,ATL,33.3825,-84.2537,GNV
AZ,29.4124,-82.1618,ATL,33.3825,-84.2537,GNV
DL,29.4124,-82.1618,ATL,33.3825,-84.2537,GNV
KL,29.4124,-82.1618,ATL,33.3825,-84.2537,GNV
AF,44.296,-88.746,ATL,33.3825,-84.2537,GRB
DL,44.296,-88.746,ATL,33.3825,-84.2537,GRB
KL,44.296,-88.746,ATL,33.3825,-84.2537,GRB
AF,31.42,-97.4944,ATL,33.3825,-84.2537,GRK
DL,31.42,-97.4944,ATL,33.3825,-84.2537,GRK
KL,31.42,-97.4944,ATL,33.3825,-84.2537,GRK
AF,42.5251,-85.3122,ATL,33.3825,-84.2537,GRR
DL,42.5251,-85.3122,ATL,33.3825,-84.2537,GRR
KL,42.5251,-85.3122,ATL,33.3825,-84.2537,GRR
AZ,29.3843,-95.1644,ATL,33.3825,-84.2537,HOU
DL,29.3843,-95.1644,ATL,33.3825,-84.2537,HOU
FL,29.3843,-95.1644,ATL,33.3825,-84.2537,HOU
KL,29.3843,-95.1644,ATL,33.3825,-84.2537,HOU
VS,29.3843,-95.1644,ATL,33.3825,-84.2537,HOU
WN,29.3843,-95.1644,ATL,33.3825,-84.2537,HOU
AF,41.41,-73.4227,ATL,33.3825,-84.2537,HPN
DL,41.41,-73.4227,ATL,33.3825,-84.2537,HPN
KL,41.41,-73.4227,ATL,33.3825,-84.2537,HPN
AF,38.564,-77.272,ATL,33.3825,-84.2537,IAD
AM,38.564,-77.272,ATL,33.3825,-84.2537,IAD
AZ,38.564,-77.272,ATL,33.3825,-84.2537,IAD
DL,38.564,-77.272,ATL,33.3825,-84.2537,IAD
KL,38.564,-77.272,ATL,33.3825,-84.2537,IAD
LH,38.564,-77.272,ATL,33.3825,-84.2537,IAD
NH,38.564,-77.272,ATL,33.3825,-84.2537,IAD
UA,38.564,-77.272,ATL,33.3825,-84.2537,IAD
VS,38.564,-77.272,ATL,33.3825,-84.2537,IAD
AF,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
AZ,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
CA,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
CI,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
DL,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
KL,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
UA,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
VA,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
VS,29.5849,-95.2023,ATL,33.3825,-84.2537,IAH
AF,37.3859,-97.2559,ATL,33.3825,-84.2537,ICT
AZ,37.3859,-97.2559,ATL,33.3825,-84.2537,ICT
DL,37.3859,-97.2559,ATL,33.3825,-84.2537,ICT
KL,37.3859,-97.2559,ATL,33.3825,-84.2537,ICT
AF,34.1614,-77.549,ATL,33.3825,-84.2537,ILM
AZ,34.1614,-77.549,ATL,33.3825,-84.2537,ILM
DL,34.1614,-77.549,ATL,33.3825,-84.2537,ILM
KL,34.1614,-77.549,ATL,33.3825,-84.2537,ILM
AF,39.432,-86.1739,ATL,33.3825,-84.2537,IND
AM,39.432,-86.1739,ATL,33.3825,-84.2537,IND
AZ,39.432,-86.1739,ATL,33.3825,-84.2537,IND
DL,39.432,-86.1739,ATL,33.3825,-84.2537,IND
FL,39.432,-86.1739,ATL,33.3825,-84.2537,IND
KL,39.432,-86.1739,ATL,33.3825,-84.2537,IND
VA,39.432,-86.1739,ATL,33.3825,-84.2537,IND
VS,39.432,-86.1739,ATL,33.3825,-84.2537,IND
WN,39.432,-86.1739,ATL,33.3825,-84.2537,IND
AF,32.184,-90.433,ATL,33.3825,-84.2537,JAN
AS,32.184,-90.433,ATL,33.3825,-84.2537,JAN
AZ,32.184,-90.433,ATL,33.3825,-84.2537,JAN
DL,32.184,-90.433,ATL,33.3825,-84.2537,JAN
KL,32.184,-90.433,ATL,33.3825,-84.2537,JAN
AF,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
AM,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
AS,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
AZ,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
DL,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
FL,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
KL,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
VS,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
WN,30.2938,-81.4116,ATL,33.3825,-84.2537,JAX
AF,40.3823,-73.4644,ATL,33.3825,-84.2537,JFK
AM,40.3823,-73.4644,ATL,33.3825,-84.2537,JFK
AZ,40.3823,-73.4644,ATL,33.3825,-84.2537,JFK
DL,40.3823,-73.4644,ATL,33.3825,-84.2537,JFK
KL,40.3823,-73.4644,ATL,33.3825,-84.2537,JFK
SU,40.3823,-73.4644,ATL,33.3825,-84.2537,JFK
VS,40.3823,-73.4644,ATL,33.3825,-84.2537,JFK
9E,42.4643,-84.3514,ATL,33.3825,-84.2537,LAN
DL,42.4643,-84.3514,ATL,33.3825,-84.2537,LAN
AF,36.449,-115.98,ATL,33.3825,-84.2537,LAS
AZ,36.449,-115.98,ATL,33.3825,-84.2537,LAS
DL,36.449,-115.98,ATL,33.3825,-84.2537,LAS
FL,36.449,-115.98,ATL,33.3825,-84.2537,LAS
KL,36.449,-115.98,ATL,33.3825,-84.2537,LAS
VS,36.449,-115.98,ATL,33.3825,-84.2537,LAS
WN,36.449,-115.98,ATL,33.3825,-84.2537,LAS
AF,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
AS,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
CI,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
DL,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
FL,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
KL,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
VA,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
VS,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
WN,33.5633,-118.2429,ATL,33.3825,-84.2537,LAX
AF,30.1219,-91.5915,ATL,33.3825,-84.2537,LFT
DL,30.1219,-91.5915,ATL,33.3825,-84.2537,LFT
KL,30.1219,-91.5915,ATL,33.3825,-84.2537,LFT
AF,40.4638,-73.5221,ATL,33.3825,-84.2537,LGA
AM,40.4638,-73.5221,ATL,33.3825,-84.2537,LGA
DL,40.4638,-73.5221,ATL,33.3825,-84.2537,LGA
FL,40.4638,-73.5221,ATL,33.3825,-84.2537,LGA
KL,40.4638,-73.5221,ATL,33.3825,-84.2537,LGA
WN,40.4638,-73.5221,ATL,33.3825,-84.2537,LGA
WS,40.4638,-73.5221,ATL,33.3825,-84.2537,LGA
AF,34.4346,-92.1327,ATL,33.3825,-84.2537,LIT
AZ,34.4346,-92.1327,ATL,33.3825,-84.2537,LIT
DL,34.4346,-92.1327,ATL,33.3825,-84.2537,LIT
KL,34.4346,-92.1327,ATL,33.3825,-84.2537,LIT
AF,39.1751,-94.425,ATL,33.3825,-84.2537,MCI
AM,39.1751,-94.425,ATL,33.3825,-84.2537,MCI
AZ,39.1751,-94.425,ATL,33.3825,-84.2537,MCI
DL,39.1751,-94.425,ATL,33.3825,-84.2537,MCI
FL,39.1751,-94.425,ATL,33.3825,-84.2537,MCI
KL,39.1751,-94.425,ATL,33.3825,-84.2537,MCI
VS,39.1751,-94.425,ATL,33.3825,-84.2537,MCI
WN,39.1751,-94.425,ATL,33.3825,-84.2537,MCI
3M,32.4134,-83.3857,ATL,33.3825,-84.2537,MCN
AF,28.2544,-81.1857,ATL,33.3825,-84.2537,MCO
AM,28.2544,-81.1857,ATL,33.3825,-84.2537,MCO
AZ,28.2544,-81.1857,ATL,33.3825,-84.2537,MCO
DL,28.2544,-81.1857,ATL,33.3825,-84.2537,MCO
FL,28.2544,-81.1857,ATL,33.3825,-84.2537,MCO
KL,28.2544,-81.1857,ATL,33.3825,-84.2537,MCO
VS,28.2544,-81.1857,ATL,33.3825,-84.2537,MCO
WN,28.2544,-81.1857,ATL,33.3825,-84.2537,MCO
9E,40.1136,-76.4548,ATL,33.3825,-84.2537,MDT
AF,40.1136,-76.4548,ATL,33.3825,-84.2537,MDT
DL,40.1136,-76.4548,ATL,33.3825,-84.2537,MDT
KL,40.1136,-76.4548,ATL,33.3825,-84.2537,MDT
AF,41.479,-87.458,ATL,33.3825,-84.2537,MDW
DL,41.479,-87.458,ATL,33.3825,-84.2537,MDW
FL,41.479,-87.458,ATL,33.3825,-84.2537,MDW
KL,41.479,-87.458,ATL,33.3825,-84.2537,MDW
WN,41.479,-87.458,ATL,33.3825,-84.2537,MDW
AF,35.232,-89.5836,ATL,33.3825,-84.2537,MEM
AM,35.232,-89.5836,ATL,33.3825,-84.2537,MEM
AS,35.232,-89.5836,ATL,33.3825,-84.2537,MEM
AZ,35.232,-89.5836,ATL,33.3825,-84.2537,MEM
DL,35.232,-89.5836,ATL,33.3825,-84.2537,MEM
KL,35.232,-89.5836,ATL,33.3825,-84.2537,MEM
VS,35.232,-89.5836,ATL,33.3825,-84.2537,MEM
AA,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
AF,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
AM,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
AS,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
AZ,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
BA,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
DL,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
IB,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
KL,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
US,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
VA,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
VS,25.4735,-80.1726,ATL,33.3825,-84.2537,MIA
AF,42.565,-87.5347,ATL,33.3825,-84.2537,MKE
AM,42.565,-87.5347,ATL,33.3825,-84.2537,MKE
AZ,42.565,-87.5347,ATL,33.3825,-84.2537,MKE
DL,42.565,-87.5347,ATL,33.3825,-84.2537,MKE
FL,42.565,-87.5347,ATL,33.3825,-84.2537,MKE
KL,42.565,-87.5347,ATL,33.3825,-84.2537,MKE
WN,42.565,-87.5347,ATL,33.3825,-84.2537,MKE
AF,28.69,-80.3842,ATL,33.3825,-84.2537,MLB
DL,28.69,-80.3842,ATL,33.3825,-84.2537,MLB
KL,28.69,-80.3842,ATL,33.3825,-84.2537,MLB
AF,32.3039,-92.215,ATL,33.3825,-84.2537,MLU
DL,32.3039,-92.215,ATL,33.3825,-84.2537,MLU
KL,32.3039,-92.215,ATL,33.3825,-84.2537,MLU
AF,30.4129,-88.1434,ATL,33.3825,-84.2537,MOB
DL,30.4129,-88.1434,ATL,33.3825,-84.2537,MOB
KL,30.4129,-88.1434,ATL,33.3825,-84.2537,MOB
AF,43.823,-89.2015,ATL,33.3825,-84.2537,MSN
DL,43.823,-89.2015,ATL,33.3825,-84.2537,MSN
KL,43.823,-89.2015,ATL,33.3825,-84.2537,MSN
9E,44.5249,-93.13,ATL,33.3825,-84.2537,MSP
