years since ipo,Company Name (Full),Company Name,Growth Group,Net Income (2008),Number of Records,Revenue (2008),Revenue (Inflation Adjusted),Segment,Ticker,Year Founded,Year
0,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,0,CRM,DMAN,1999,1999
1,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,,CRM,ARTG,1991,1992
1,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,,CRM,DMAN,1999,2000
2,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,,CRM,ARTG,1991,1993
2,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,,CRM,DMAN,1999,2001
3,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,1.0768,CRM,ARTG,1991,1994
3,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,,CRM,DMAN,1999,2002
4,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,1.1172,CRM,ARTG,1991,1995
4,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,9.492,CRM,DMAN,1999,2003
5,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,5.3067,CRM,ARTG,1991,1996
5,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,10.622,CRM,DMAN,1999,2004
6,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,8.6524,CRM,ARTG,1991,1997
6,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,21.255,CRM,DMAN,1999,2005
7,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,16.0208,CRM,ARTG,1991,1998
7,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,34.775,CRM,DMAN,1999,2006
8,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,40.96,CRM,ARTG,1991,1999
8,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,45.24,CRM,DMAN,1999,2007
9,"Art Technology Group, Inc.",Art Technology,Hot Company,3.8,1,164.64,202.492,CRM,ARTG,1991,2000
9,"DemandTec, Inc.",DemandTec,Hot Company,-4.49,1,61.27,61.3,CRM,DMAN,1999,2008
0,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,0,CRM,OMTR,1996,1996
1,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,,CRM,OMTR,1996,1997
2,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,,CRM,OMTR,1996,1998
3,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,,CRM,OMTR,1996,1999
4,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,,CRM,OMTR,1996,2000
5,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,2.257,CRM,OMTR,1996,2001
6,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,4.403,CRM,OMTR,1996,2002
7,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,9.831,CRM,OMTR,1996,2003
8,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,23.278,CRM,OMTR,1996,2004
9,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,46.652,CRM,OMTR,1996,2005
10,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,85.386,CRM,OMTR,1996,2006
11,"Omniture, Inc.",Omniture,Hot Company,-44.77,1,295.61,148.824,CRM,OMTR,1996,2007
0,Netezza Corporation,Netezza,Hot Company,-0.86,1,126.69,0,Database,NZ,2000,2000
1,Netezza Corporation,Netezza,Hot Company,-0.86,1,126.69,,Database,NZ,2000,2001
2,Netezza Corporation,Netezza,Hot Company,-0.86,1,126.69,,Database,NZ,2000,2002
3,Netezza Corporation,Netezza,Hot Company,-0.86,1,126.69,,Database,NZ,2000,2003
4,Netezza Corporation,Netezza,Hot Company,-0.86,1,126.69,15.368,Database,NZ,2000,2004
5,Netezza Corporation,Netezza,Hot Company,-0.86,1,126.69,33.6897,Database,NZ,2000,2005
6,Netezza Corporation,Netezza,Hot Company,-0.86,1,126.69,48.6936,Database,NZ,2000,2006
7,Netezza Corporation,Netezza,Hot Company,-0.86,1,126.69,67.2173,Database,NZ,2000,2007
0,Oracle Corporation,Oracle,Hot Company,5521,1,22430,0,Database,ORCL,1977,1977
1,Oracle Corporation,Oracle,Hot Company,5521,1,22430,,Database,ORCL,1977,1978
2,Oracle Corporation,Oracle,Hot Company,5521,1,22430,,Database,ORCL,1977,1979
3,Oracle Corporation,Oracle,Hot Company,5521,1,22430,1.548,Database,ORCL,1977,1980
4,Oracle Corporation,Oracle,Hot Company,5521,1,22430,2.808,Database,ORCL,1977,1981
5,Oracle Corporation,Oracle,Hot Company,5521,1,22430,5.28,Database,ORCL,1977,1982
6,Oracle Corporation,Oracle,Hot Company,5521,1,22430,10.65,Database,ORCL,1977,1983
7,Oracle Corporation,Oracle,Hot Company,5521,1,22430,26.035,Database,ORCL,1977,1984
8,Oracle Corporation,Oracle,Hot Company,5521,1,22430,45.936,Database,ORCL,1977,1985
9,Oracle Corporation,Oracle,Hot Company,5521,1,22430,107.476,Database,ORCL,1977,1986
0,"DivX, Inc.",DivX,Hot Company,9.21,1,84.86,0,Entertainment,DIVX,2000,2000
1,"DivX, Inc.",DivX,Hot Company,9.21,1,84.86,0.1696,Entertainment,DIVX,2000,2001
2,"DivX, Inc.",DivX,Hot Company,9.21,1,84.86,3.213,Entertainment,DIVX,2000,2002
3,"DivX, Inc.",DivX,Hot Company,9.21,1,84.86,8.701,Entertainment,DIVX,2000,2003
4,"DivX, Inc.",DivX,Hot Company,9.21,1,84.86,18.532,Entertainment,DIVX,2000,2004
5,"DivX, Inc.",DivX,Hot Company,9.21,1,84.86,35.97,Entertainment,DIVX,2000,2005
6,"DivX, Inc.",DivX,Hot Company,9.21,1,84.86,63.451,Entertainment,DIVX,2000,2006
0,International Game Technology,International Game,Hot Company,342.5,1,2528.6,0,Entertainment,IGT,1971,1971
1,International Game Technology,International Game,Hot Company,342.5,1,2528.6,,Entertainment,IGT,1971,1972
2,International Game Technology,International Game,Hot Company,342.5,1,2528.6,,Entertainment,IGT,1971,1973
3,International Game Technology,International Game,Hot Company,342.5,1,2528.6,,Entertainment,IGT,1971,1974
4,International Game Technology,International Game,Hot Company,342.5,1,2528.6,,Entertainment,IGT,1971,1975
5,International Game Technology,International Game,Hot Company,342.5,1,2528.6,1.87,Entertainment,IGT,1971,1976
6,International Game Technology,International Game,Hot Company,342.5,1,2528.6,9.828,Entertainment,IGT,1971,1977
7,International Game Technology,International Game,Hot Company,342.5,1,2528.6,29.43,Entertainment,IGT,1971,1978
8,International Game Technology,International Game,Hot Company,342.5,1,2528.6,55.084,Entertainment,IGT,1971,1979
9,International Game Technology,International Game,Hot Company,342.5,1,2528.6,103.458,Entertainment,IGT,1971,1980
10,International Game Technology,International Game,Hot Company,342.5,1,2528.6,,Entertainment,IGT,1971,1981
11,International Game Technology,International Game,Hot Company,342.5,1,2528.6,134.2,Entertainment,IGT,1971,1982
0,"SuccessFactors, Inc.",SuccessFactors,Hot Company,-64.95,1,111.91,0,ERP,SFSF,2001,2001
1,"SuccessFactors, Inc.",SuccessFactors,Hot Company,-64.95,1,111.91,1.19,ERP,SFSF,2001,2002
2,"SuccessFactors, Inc.",SuccessFactors,Hot Company,-64.95,1,111.91,5.65,ERP,SFSF,2001,2003
3,"SuccessFactors, Inc.",SuccessFactors,Hot Company,-64.95,1,111.91,11.5452,ERP,SFSF,2001,2004
4,"SuccessFactors, Inc.",SuccessFactors,Hot Company,-64.95,1,111.91,14.2005,ERP,SFSF,2001,2005
5,"SuccessFactors, Inc.",SuccessFactors,Hot Company,-64.95,1,111.91,34.8499,ERP,SFSF,2001,2006
6,"SuccessFactors, Inc.",SuccessFactors,Hot Company,-64.95,1,111.91,65.832,ERP,SFSF,2001,2007
0,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,0,ERP,ULTI,1990,1990
0,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,1.6699,ERP,ULTI,1990,1990
1,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,,ERP,ULTI,1990,1991
1,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,3.106,ERP,ULTI,1990,1991
2,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,,ERP,ULTI,1990,1992
2,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,5.2178,ERP,ULTI,1990,1992
3,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,12.6643,ERP,ULTI,1990,1993
4,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,23.5733,ERP,ULTI,1990,1994
5,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,57.156,ERP,ULTI,1990,1995
6,"The Ultimate Software Group, Inc.",Ultimate Software,Hot Company,-2.9,1,178.57,71.424,ERP,ULTI,1990,1996
0,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,0,ERP,CNQR,1993,1993
1,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,1.5215,ERP,CNQR,1993,1994
2,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,2.9792,ERP,CNQR,1993,1995
3,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,2.6642,ERP,CNQR,1993,1996
4,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,11.0818,ERP,CNQR,1993,1997
5,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,15.4638,ERP,CNQR,1993,1998
6,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,48.384,ERP,CNQR,1993,1999
7,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,47.864,ERP,CNQR,1993,2000
8,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,48.434,ERP,CNQR,1993,2001
9,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,53.669,ERP,CNQR,1993,2002
10,"Concur Technologies, Inc.",Concur,Hot Company,17.18,1,215.49,64.071,ERP,CNQR,1993,2003
0,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,0,Network / Infrastructure/ EAI,SMCI,1993,1993
1,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,,Network / Infrastructure/ EAI,SMCI,1993,1994
2,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,,Network / Infrastructure/ EAI,SMCI,1993,1995
3,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,,Network / Infrastructure/ EAI,SMCI,1993,1996
4,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,,Network / Infrastructure/ EAI,SMCI,1993,1997
5,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,,Network / Infrastructure/ EAI,SMCI,1993,1998
6,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,,Network / Infrastructure/ EAI,SMCI,1993,1999
7,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,,Network / Infrastructure/ EAI,SMCI,1993,2000
8,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,97.6,Network / Infrastructure/ EAI,SMCI,1993,2001
9,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,104.958,Network / Infrastructure/ EAI,SMCI,1993,2002
10,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,155.036,Network / Infrastructure/ EAI,SMCI,1993,2003
11,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,188.823,Network / Infrastructure/ EAI,SMCI,1993,2004
12,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,230.862,Network / Infrastructure/ EAI,SMCI,1993,2005
13,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,323.675,Network / Infrastructure/ EAI,SMCI,1993,2006
14,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,437.216,Network / Infrastructure/ EAI,SMCI,1993,2007
15,"Super Micro Computer, Inc.",SuperMicro,Hot Company,25.42,1,540.5,540.5,Network / Infrastructure/ EAI,SMCI,1993,2008
0,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,0,Network / Infrastructure/ EAI,PRGS,1981,1981
1,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,,Network / Infrastructure/ EAI,PRGS,1981,1982
2,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,,Network / Infrastructure/ EAI,PRGS,1981,1983
3,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,,Network / Infrastructure/ EAI,PRGS,1981,1984
4,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,5.94,Network / Infrastructure/ EAI,PRGS,1981,1985
5,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,8.924,Network / Infrastructure/ EAI,PRGS,1981,1986
6,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,11.407,Network / Infrastructure/ EAI,PRGS,1981,1987
7,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,27.54,Network / Infrastructure/ EAI,PRGS,1981,1988
8,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,43.516,Network / Infrastructure/ EAI,PRGS,1981,1989
9,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,65.2,Network / Infrastructure/ EAI,PRGS,1981,1990
10,Progress Software Corporation,Progress,Hot Company,46.3,1,515.56,90.48,Network / Infrastructure/ EAI,PRGS,1981,1991
0,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,0,Network / Infrastructure/ EAI,NICE,1986,1986
0,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,0,Network / Infrastructure/ EAI,ELON,1989,1989
1,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,,Network / Infrastructure/ EAI,NICE,1986,1987
1,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,,Network / Infrastructure/ EAI,ELON,1989,1990
2,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,,Network / Infrastructure/ EAI,NICE,1986,1988
2,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,,Network / Infrastructure/ EAI,ELON,1989,1991
3,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,,Network / Infrastructure/ EAI,NICE,1986,1989
3,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,,Network / Infrastructure/ EAI,ELON,1989,1992
4,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,4.727,Network / Infrastructure/ EAI,NICE,1986,1990
4,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,16.9711,Network / Infrastructure/ EAI,ELON,1989,1993
5,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,7.176,Network / Infrastructure/ EAI,NICE,1986,1991
5,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,23.9268,Network / Infrastructure/ EAI,ELON,1989,1994
6,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,7.6,Network / Infrastructure/ EAI,NICE,1986,1992
6,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,32.6802,Network / Infrastructure/ EAI,ELON,1989,1995
7,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,7.938,Network / Infrastructure/ EAI,NICE,1986,1993
7,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,32.6264,Network / Infrastructure/ EAI,ELON,1989,1996
8,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,12.87,Network / Infrastructure/ EAI,NICE,1986,1994
8,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,37.9247,Network / Infrastructure/ EAI,ELON,1989,1997
9,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,29.4,Network / Infrastructure/ EAI,NICE,1986,1995
9,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,42.504,Network / Infrastructure/ EAI,ELON,1989,1998
10,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,54.128,Network / Infrastructure/ EAI,NICE,1986,1996
10,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,50.816,Network / Infrastructure/ EAI,ELON,1989,1999
11,Nice Systems Ltd. (ADR),Nice Systems,Hot Company,39.11,1,624.16,92.46,Network / Infrastructure/ EAI,NICE,1986,1997
11,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,61.132,Network / Infrastructure/ EAI,ELON,1989,2000
12,Echelon Corporation,Echelon,Hot Company,-25.83,1,134.05,93.452,Network / Infrastructure/ EAI,ELON,1989,2001
0,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,0,Operating Systems,MSFT,1975,1975
1,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,,Operating Systems,MSFT,1975,1976
2,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,,Operating Systems,MSFT,1975,1977
3,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,,Operating Systems,MSFT,1975,1978
4,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,,Operating Systems,MSFT,1975,1979
5,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,,Operating Systems,MSFT,1975,1980
6,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,,Operating Systems,MSFT,1975,1981
7,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,53.9,Operating Systems,MSFT,1975,1982
8,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,106.5,Operating Systems,MSFT,1975,1983
9,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,199.875,Operating Systems,MSFT,1975,1984
10,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,277.992,Operating Systems,MSFT,1975,1985
11,Microsoft Corporation,Microsoft,Hot Company,17681,1,60420,383.15,Operating Systems,MSFT,1975,1986
0,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,0,Operating Systems,RHT,1993,1993
1,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,,Operating Systems,RHT,1993,1994
2,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,0.28,Operating Systems,RHT,1993,1995
3,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,0.6555,Operating Systems,RHT,1993,1996
4,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,1.2462,Operating Systems,RHT,1993,1997
5,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,3.436,Operating Systems,RHT,1993,1998
6,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,6.5997,Operating Systems,RHT,1993,1999
7,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,13.3796,Operating Systems,RHT,1993,2000
8,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,98.576,Operating Systems,RHT,1993,2001
9,"Red Hat, Inc.",RedHat,Hot Company,76.67,1,523.02,93.891,Operating Systems,RHT,1993,2002
0,"Sourcefire, Inc.",Sourcefire,Hot Company,-6.07,1,75.67,0,Security,FIRE,2001,2001
1,"Sourcefire, Inc.",Sourcefire,Hot Company,-6.07,1,75.67,2.261,Security,FIRE,2001,2002
2,"Sourcefire, Inc.",Sourcefire,Hot Company,-6.07,1,75.67,10.735,Security,FIRE,2001,2003
3,"Sourcefire, Inc.",Sourcefire,Hot Company,-6.07,1,75.67,18.871,Security,FIRE,2001,2004
4,"Sourcefire, Inc.",Sourcefire,Hot Company,-6.07,1,75.67,35.861,Security,FIRE,2001,2005
5,"Sourcefire, Inc.",Sourcefire,Hot Company,-6.07,1,75.67,48.043,Security,FIRE,2001,2006
6,"Sourcefire, Inc.",Sourcefire,Hot Company,-6.07,1,75.67,58.136,Security,FIRE,2001,2007
7,"Sourcefire, Inc.",Sourcefire,Hot Company,-6.07,1,75.67,75.7,Security,FIRE,2001,2008
0,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,0,Security,SYMC,1982,1982
0,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,0,Security,CTXS,1989,1989
1,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,,Security,SYMC,1982,1983
1,"Citrix Systems, Inc.",Citrix,Hot Company,178.28,1,1583.35,,Security,CTXS,1989,1990
2,Symantec Corporation,Symantec,Hot Company,463.85,1,5874.42,,Security,SYMC,1982,1984
