Country Code,Country Name,Health Expenditure,Life Expectancy,Number of Records,Year
DEU,Germany,941.1213,72.677902439,1,1980
DEU,Germany,1070.3393,72.952390244,1,1981
DEU,Germany,1110.4089,73.230975610,1,1982
DEU,Germany,1175.1552,73.512146341,1,1983
DEU,Germany,1274.0643,73.792853659,1,1984
DEU,Germany,1372.0026,74.064536585,1,1985
DEU,Germany,1412.8683,74.321634146,1,1986
DEU,Germany,1484.8339,74.559609756,1,1987
DEU,Germany,1620.0093,74.778951220,1,1988
DEU,Germany,1609.1452,74.982682927,1,1989
DEU,Germany,1721.5143,75.177365854,1,1990
DEU,Germany,1907.9949,75.819512195,1,1992
DEU,Germany,1915.2877,75.870731707,1,1993
DEU,Germany,2049.6612,76.270731707,1,1994
DEU,Germany,2185.1405,76.421951220,1,1995
DEU,Germany,2312.0275,76.673170732,1,1996
DEU,Germany,2335.1543,77.073170732,1,1997
DEU,Germany,2405.8643,77.475609756,1,1998
DEU,Germany,2512.7486,77.726829268,1,1999
DEU,Germany,2612.5703,77.926829268,1,2000
DEU,Germany,2730.1828,78.329268293,1,2001
DEU,Germany,2869.9629,78.229268293,1,2002
DEU,Germany,3033.0953,78.380487805,1,2003
DEU,Germany,3099.7712,78.680487805,1,2004
DEU,Germany,3297.0591,78.931707317,1,2005
DEU,Germany,3502.6909,79.131707317,1,2006
DEU,Germany,3660.9349,79.534146341,1,2007
DEU,Germany,3901.418,79.736585366,1,2008
DEU,Germany,4130.7969,79.836585366,1,2009
DEU,Germany,4358.6128,79.987804878,1,2010
DEU,Germany,4510.1751,80.741463415,1,2011
DEU,Germany,4694.681,80.892682927,1,2012
DEU,Germany,4921.8139,80.843902439,1,2013
DEU,Germany,5119.2146,80.843902439,1,2014
DNK,Denmark,364.5805,73.414634146,1,1971
DNK,Denmark,397.7483,73.439024390,1,1972
DNK,Denmark,421.208,73.682195122,1,1973
DNK,Denmark,494.7508,73.808292683,1,1974
DNK,Denmark,547.0066,74.075121951,1,1975
DNK,Denmark,602.9201,73.739756098,1,1976
DNK,Denmark,635.8864,74.632439024,1,1977
DNK,Denmark,703.1093,74.392926829,1,1978
DNK,Denmark,797.9974,74.219268293,1,1979
DNK,Denmark,861.222,74.101707317,1,1980
DNK,Denmark,955.3799,74.230487805,1,1981
DNK,Denmark,1059.2843,74.551219512,1,1982
DNK,Denmark,1103.22,74.420487805,1,1983
DNK,Denmark,1127.0169,74.562195122,1,1984
DNK,Denmark,1205.5467,74.427560976,1,1985
DNK,Denmark,1249.5682,74.579756098,1,1986
DNK,Denmark,1335.6857,74.691219512,1,1987
DNK,Denmark,1405.2498,74.771707317,1,1988
DNK,Denmark,1445.2483,74.799756098,1,1989
DNK,Denmark,1510.6198,74.805365854,1,1990
DNK,Denmark,1559.0867,75.157804878,1,1991
DNK,Denmark,1623.3337,75.194146341,1,1992
DNK,Denmark,1724.5152,75.116829268,1,1993
DNK,Denmark,1802.2229,75.375121951,1,1994
DNK,Denmark,1814.5633,75.212682927,1,1995
DNK,Denmark,1916.8516,75.591463415,1,1996
DNK,Denmark,1990.2833,75.945121951,1,1997
DNK,Denmark,2009.4111,76.139024390,1,1998
DNK,Denmark,2297.6172,76.341463415,1,1999
DNK,Denmark,2395.5167,76.592682927,1,2000
DNK,Denmark,2555.382,76.792682927,1,2001
DNK,Denmark,2749.7927,76.895121951,1,2002
DNK,Denmark,2784.0652,77.143902439,1,2003
DNK,Denmark,2986.9486,77.492682927,1,2004
DNK,Denmark,3096.9831,77.843902439,1,2005
DNK,Denmark,3406.8102,78.095121951,1,2006
DNK,Denmark,3605.2153,78.195121951,1,2007
DNK,Denmark,3892.7375,78.446341463,1,2008
DNK,Denmark,4247.8819,78.597560976,1,2009
DNK,Denmark,4370.3331,79.1,1,2010
DNK,Denmark,4430.6885,79.8,1,2011
DNK,Denmark,4544.8568,80.051219512,1,2012
DNK,Denmark,4708.1321,80.3,1,2013
DNK,Denmark,4857.0285,80.548780488,1,2014
ESP,Spain,88.5521,72.027317073,1,1970
ESP,Spain,109.7235,71.630243902,1,1971
ESP,Spain,129.4614,72.818048780,1,1972
ESP,Spain,142.6334,72.610731707,1,1973
ESP,Spain,177.0384,72.969756098,1,1974
ESP,Spain,200.2777,73.318780488,1,1975
ESP,Spain,240.2397,73.642682927,1,1976
ESP,Spain,273.0869,74.131951220,1,1977
ESP,Spain,294.7268,74.295609756,1,1978
ESP,Spain,313.0721,74.818780488,1,1979
ESP,Spain,351.2603,75.349268293,1,1980
ESP,Spain,390.9626,75.528536585,1,1981
ESP,Spain,425.6855,76.134146341,1,1982
ESP,Spain,461.2502,75.909024390,1,1983
ESP,Spain,467.168,76.295365854,1,1984
ESP,Spain,480.4681,76.259512195,1,1985
ESP,Spain,500.6476,76.510487805,1,1986
ESP,Spain,548.0774,76.728048780,1,1987
ESP,Spain,661.5783,76.747073171,1,1988
ESP,Spain,734.8665,76.813658537,1,1989
ESP,Spain,835.3369,76.837560976,1,1990
ESP,Spain,910.1406,76.971219512,1,1991
ESP,Spain,992.3218,77.41,1,1992
ESP,Spain,1048.008,77.546585366,1,1993
ESP,Spain,1081.2951,77.901463415,1,1994
ESP,Spain,1157.1153,77.980731707,1,1995
ESP,Spain,1215.5878,78.120487805,1,1996
ESP,Spain,1263.021,78.604146341,1,1997
ESP,Spain,1340.5293,78.665853659,1,1998
ESP,Spain,1406.4495,78.717073171,1,1999
ESP,Spain,1490.642,78.965853659,1,2000
ESP,Spain,1574.9689,79.368292683,1,2001
ESP,Spain,1677.5396,79.568292683,1,2002
ESP,Spain,1907.9302,79.619512195,1,2003
ESP,Spain,2014.3386,79.870731707,1,2004
ESP,Spain,2139.3333,80.170731707,1,2005
ESP,Spain,2393.3068,80.821951220,1,2006
ESP,Spain,2570.706,80.873170732,1,2007
ESP,Spain,2795.8694,81.175609756,1,2008
ESP,Spain,2944.6196,81.475609756,1,2009
ESP,Spain,2917.9495,81.626829268,1,2010
ESP,Spain,2956.7857,82.475609756,1,2011
ESP,Spain,2929.3567,82.426829268,1,2012
ESP,Spain,2952.175,83.078048780,1,2013
ESP,Spain,3053.0745,83.078048780,1,2014
EST,Estonia,497.1219,70.063414634,1,1999
EST,Estonia,501.3152,70.417073171,1,2000
EST,Estonia,505.0559,70.258536585,1,2001
EST,Estonia,558.7273,70.904878049,1,2002
EST,Estonia,646.7045,71.317073171,1,2003
EST,Estonia,746.8322,71.909756098,1,2004
EST,Estonia,820.7244,72.568292683,1,2005
EST,Estonia,949.1905,72.691463415,1,2006
EST,Estonia,1098.0087,72.814634146,1,2007
EST,Estonia,1284.4079,73.770731707,1,2008
EST,Estonia,1319.5699,74.824390244,1,2009
EST,Estonia,1334.1851,75.429268293,1,2010
EST,Estonia,1392.1765,76.229268293,1,2011
EST,Estonia,1502.9345,76.326829268,1,2012
EST,Estonia,1623.1936,77.141463415,1,2013
EST,Estonia,1724.51,77.239024390,1,2014
FIN,Finland,166.9996,70.179512195,1,1970
FIN,Finland,190.1923,70.017560976,1,1971
FIN,Finland,216.3275,70.707317073,1,1972
FIN,Finland,235.8708,71.223658537,1,1973
FIN,Finland,260.8435,71.134878049,1,1974
FIN,Finland,315.7781,71.673658537,1,1975
FIN,Finland,353.2043,71.812926829,1,1976
FIN,Finland,387.709,72.350243902,1,1977
FIN,Finland,421.6848,72.897073171,1,1978
FIN,Finland,476.0903,73.155365854,1,1979
FIN,Finland,538.641,73.44,1,1980
FIN,Finland,606.4913,73.746585366,1,1981
FIN,Finland,670.5173,74.298048780,1,1982
FIN,Finland,724.6794,74.200975610,1,1983
FIN,Finland,775.8805,74.519024390,1,1984
FIN,Finland,877.3167,74.222926829,1,1985
FIN,Finland,930.1548,74.56,1,1986
FIN,Finland,1005.4197,74.591951220,1,1987
FIN,Finland,1061.1596,74.577073171,1,1988
FIN,Finland,1161.1685,74.792195122,1,1989
FIN,Finland,1297.9226,74.813170732,1,1990
FIN,Finland,1439.3798,75.227560976,1,1991
FIN,Finland,1449.2851,75.455365854,1,1992
FIN,Finland,1347.9213,75.705121951,1,1993
FIN,Finland,1325.3603,76.395609756,1,1994
FIN,Finland,1418.182,76.409512195,1,1995
FIN,Finland,1481.5893,76.693414634,1,1996
FIN,Finland,1538.6158,76.878536585,1,1997
FIN,Finland,1587.6046,77.090731707,1,1998
FIN,Finland,1665.5525,77.291219512,1,1999
FIN,Finland,1816.4327,77.465853659,1,2000
FIN,Finland,1930.9554,77.965853659,1,2001
FIN,Finland,2100.2576,78.119512195,1,2002
FIN,Finland,2219.4643,78.368292683,1,2003
FIN,Finland,2432.1462,78.714634146,1,2004
FIN,Finland,2571.3738,78.817073171,1,2005
FIN,Finland,2768.6527,79.214634146,1,2006
FIN,Finland,2941.9571,79.263414634,1,2007
FIN,Finland,3218.1337,79.568292683,1,2008
FIN,Finland,3336.3316,79.719512195,1,2009
FIN,Finland,3403.1108,79.870731707,1,2010
FIN,Finland,3605.807,80.470731707,1,2011
FIN,Finland,3758.9973,80.626829268,1,2012
FIN,Finland,3890.7877,80.975609756,1,2013
FIN,Finland,3870.4,81.129268293,1,2014
FRA,France,191.8218,71.658536585,1,1970
FRA,France,362.5645,72.853658537,1,1975
FRA,France,649.5386,74.051219512,1,1980
FRA,France,1004.0484,75.3,1,1985
FRA,France,1401.3391,76.6,1,1990
FRA,France,1496.4002,76.848780488,1,1991
FRA,France,1589.4552,77.1,1,1992
FRA,France,1688.2812,77.3,1,1993
FRA,France,1755.1099,77.648780488,1,1994
FRA,France,2037.6149,77.751219512,1,1995
FRA,France,2097.941,77.953658537,1,1996
FRA,France,2162.0783,78.304878049,1,1997
FRA,France,2246.3048,78.604878049,1,1998
FRA,France,2336.1787,78.756097561,1,1999
FRA,France,2484.1715,79.056097561,1,2000
FRA,France,2657.6867,79.158536585,1,2001
FRA,France,2852.5993,79.260975610,1,2002
FRA,France,2828.4727,79.114634146,1,2003
FRA,France,2946.9832,80.163414634,1,2004
FRA,France,3100.9237,80.163414634,1,2005
FRA,France,3253.9671,80.812195122,1,2006
FRA,France,3407.1091,81.112195122,1,2007
FRA,France,3562.5456,81.214634146,1,2008
FRA,France,3774.2044,81.414634146,1,2009
FRA,France,3859.5252,81.663414634,1,2010
FRA,France,4010.3139,82.114634146,1,2011
FRA,France,4062.9108,81.968292683,1,2012
FRA,France,4292.1762,82.219512195,1,2013
FRA,France,4366.9864,82.373170732,1,2014
GBR,United Kingdom,147.8857,71.973170732,1,1970
GBR,United Kingdom,162.0258,72.273170732,1,1971
GBR,United Kingdom,178.6712,72.124390244,1,1972
GBR,United Kingdom,196.9693,72.324390244,1,1973
GBR,United Kingdom,241.7809,72.524390244,1,1974
GBR,United Kingdom,276.1247,72.724390244,1,1975
GBR,United Kingdom,301.1445,72.775609756,1,1976
GBR,United Kingdom,321.4011,73.224390244,1,1977
GBR,United Kingdom,354.6131,73.175609756,1,1978
GBR,United Kingdom,392.8186,73.275609756,1,1979
GBR,United Kingdom,446.9553,73.675609756,1,1980
GBR,United Kingdom,505.5757,74.026829268,1,1981
GBR,United Kingdom,531.47,74.178048780,1,1982
GBR,United Kingdom,597.8042,74.378048780,1,1983
GBR,United Kingdom,622.0385,74.778048780,1,1984
GBR,United Kingdom,654.4169,74.629268293,1,1985
GBR,United Kingdom,685.1712,74.929268293,1,1986
GBR,United Kingdom,747.8186,75.280487805,1,1987
GBR,United Kingdom,803.8776,75.380487805,1,1988
GBR,United Kingdom,845.3638,75.582926829,1,1989
GBR,United Kingdom,887.939,75.880487805,1,1990
GBR,United Kingdom,973.4494,76.082926829,1,1991
GBR,United Kingdom,1078.9976,76.434146341,1,1992
GBR,United Kingdom,1144.029,76.385365854,1,1993
GBR,United Kingdom,1227.6224,76.885365854,1,1994
GBR,United Kingdom,1273.7345,76.836585366,1,1995
GBR,United Kingdom,1351.1875,77.087804878,1,1996
GBR,United Kingdom,1398.7175,77.210975610,1,1997
GBR,United Kingdom,1470.5883,77.190243902,1,1998
GBR,United Kingdom,1573.5414,77.390243902,1,1999
GBR,United Kingdom,1718.608,77.741463415,1,2000
GBR,United Kingdom,1901.332,77.992682927,1,2001
GBR,United Kingdom,2060.468,78.143902439,1,2002
GBR,United Kingdom,2211.542,78.446341463,1,2003
GBR,United Kingdom,2412.166,78.746341463,1,2004
GBR,United Kingdom,2568.468,79.048780488,1,2005
GBR,United Kingdom,2784.489,79.248780488,1,2006
GBR,United Kingdom,2862.43,79.448780488,1,2007
GBR,United Kingdom,2971.154,79.6,1,2008
GBR,United Kingdom,3150.239,80.051219512,1,2009
GBR,United Kingdom,3036.12,80.402439024,1,2010
GBR,United Kingdom,3087.306,80.951219512,1,2011
GBR,United Kingdom,3191.936,80.904878049,1,2012
GBR,United Kingdom,3881.09,81.004878049,1,2013
GBR,United Kingdom,3971.394,81.056097561,1,2014
GRC,Greece,660.1681,75.900658537,1,1988
GRC,Greece,776.5848,76.687804878,1,1989
GRC,Greece,804.2656,76.939024390,1,1990
GRC,Greece,826.0974,77.136585366,1,1991
GRC,Greece,923.8069,77.382926829,1,1992
GRC,Greece,1038.1708,77.390243902,1,1993
GRC,Greece,1180.6036,77.639024390,1,1994
GRC,Greece,1224.2709,77.585365854,1,1995
GRC,Greece,1263.2468,77.685365854,1,1996
GRC,Greece,1312.5507,78.136585366,1,1997
GRC,Greece,1336.0581,77.839024390,1,1998
GRC,Greece,1417.803,77.987804878,1,1999
GRC,Greece,1396.9074,77.887804878,1,2000
GRC,Greece,1669.485,78.387804878,1,2001
GRC,Greece,1870.597,78.641463415,1,2002
GRC,Greece,1951.7097,78.841463415,1,2003
GRC,Greece,2016.8191,79.039024390,1,2004
GRC,Greece,2284.7933,79.239024390,1,2005
